"pop2024","pop2020","growth","name","aland_sqmi","intptlat","intptlong","slug","usps","lng","lat","rank","density"
118344,119874,-0.00418,"Fairfield",41.193,38.2598,-122.032,"fairfield-ca","CA",-122.032,38.2598,53,2873
117222,120504,0,"East Los Angeles",7.448,34.0315,-118.169,"east-los-angeles-ca","CA",-118.169,34.0315,54,15739
115864,115251,0.0026,"Antioch",29.35,37.9791,-121.796,"antioch-ca","CA",-121.796,37.9791,55,3948
115467,103158,0.02698,"Menifee",46.472,33.6899,-117.184,"menifee-ca","CA",-117.184,33.6899,56,2485
115337,111318,0.00678,"Murrieta",33.612,33.5721,-117.19,"murrieta-ca","CA",-117.19,33.5721,57,3431
113636,110013,0.00836,"Temecula",37.268,33.4931,-117.132,"temecula-ca","CA",-117.132,33.4931,58,3049
112032,114896,-0.00941,"Carlsbad",37.75,33.1293,-117.284,"carlsbad-ca","CA",-117.284,33.1293,59,2968
111441,116367,-0.01267,"Richmond",30.055,37.9523,-122.361,"richmond-ca","CA",-122.361,37.9523,60,3708
111081,109742,0.00432,"Santa Maria",22.806,34.9331,-120.444,"santa-maria-ca","CA",-120.444,34.9331,61,4871
108863,105313,0.00579,"Jurupa Valley",42.941,34.0026,-117.468,"jurupa-valley-ca","CA",-117.468,34.0026,62,2535
108527,110518,-0.00459,"Ventura",21.882,34.2678,-119.254,"ventura-ca","CA",-119.254,34.2678,63,4960
106793,111797,-0.01261,"Costa Mesa",15.795,33.6659,-117.912,"costa-mesa-ca","CA",-117.912,33.6659,64,6761
106662,113973,-0.01511,"Downey",12.408,33.9382,-118.131,"downey-ca","CA",-118.131,33.9382,65,8596
103573,102135,0.0111,"Chico",33.463,39.7589,-121.809,"chico-ca","CA",-121.809,39.7589,66,3095
102860,101806,0.0046,"Vacaville",29.223,38.3586,-121.969,"vacaville-ca","CA",-121.969,38.3586,67,3520
102294,106126,-0.01026,"El Cajon",14.512,32.8017,-116.96,"el-cajon-ca","CA",-116.96,32.8017,68,7049
102100,109111,-0.01549,"El Monte",9.562,34.0746,-118.029,"el-monte-ca","CA",-118.029,34.0746,69,10678
102025,104125,-0.00739,"Rialto",23.998,34.1173,-117.389,"rialto-ca","CA",-117.389,34.1173,70,4251
101480,93413,0.02088,"Tracy",25.892,37.7274,-121.452,"tracy-ca","CA",-121.452,37.7274,71,3919
101303,109129,-0.01798,"West Covina",16.041,34.0559,-117.91,"west-covina-ca","CA",-117.91,34.0559,72,6315
101178,107143,-0.01337,"Burbank",17.315,34.1901,-118.326,"burbank-ca","CA",-118.326,34.1901,73,5843
100669,107384,-0.01445,"Inglewood",9.068,33.9561,-118.344,"inglewood-ca","CA",-118.344,33.9561,74,11102
100538,100090,-0.00102,"Hesperia",72.703,34.397,-117.315,"hesperia-ca","CA",-117.315,34.397,75,1383
98152,105327,-0.01422,"San Mateo",12.171,37.5603,-122.311,"san-mateo-ca","CA",-122.311,37.5603,76,8064
97057,104633,-0.01497,"Daly City",7.641,37.7008,-122.501,"daly-city-ca","CA",-122.501,37.7008,77,12702
97050,94900,0.01144,"San Marcos",24.357,33.1326,-117.17,"san-marcos-ca","CA",-117.17,33.1326,78,3984
96172,98390,-0.00822,"Vista",18.748,33.1896,-117.239,"vista-ca","CA",-117.239,33.1896,79,5130
96076,93719,0,"Arden-Arcade",17.768,38.6034,-121.38,"arden--arcade-ca","CA",-121.38,38.6034,80,5407
95988,91131,0.01506,"Chino",29.635,33.978,-117.658,"chino-ca","CA",-117.658,33.978,81,3239
95659,86648,0.02188,"Merced",23.226,37.3057,-120.478,"merced-ca","CA",-120.478,37.3057,82,4119
94985,102410,-0.01835,"Norwalk",9.709,33.9076,-118.083,"norwalk-ca","CA",-118.083,33.9076,83,9783
94884,89274,0.01554,"Indio",33.227,33.7316,-116.236,"indio-ca","CA",-116.236,33.7316,84,2856
91874,93479,-0.00559,"Redding",59.647,40.5674,-122.365,"redding-ca","CA",-122.365,40.5674,85,1540
91107,89844,0.0023,"Hemet",29.266,33.7341,-116.997,"hemet-ca","CA",-116.997,33.7341,86,3113
90754,92434,-0.00095,"South Gate",7.236,33.9442,-118.193,"south-gate-ca","CA",-118.193,33.9442,87,12542
90594,95286,-0.0098,"Carson",18.73,33.8404,-118.25,"carson-ca","CA",-118.25,33.8404,88,4837
90456,93464,-0.00724,"Mission Viejo",17.701,33.6093,-117.656,"mission-viejo-ca","CA",-117.656,33.6093,89,5110
89352,83834,0.01375,"Manteca",21.389,37.7928,-121.226,"manteca-ca","CA",-121.226,37.7928,90,4177
89052,95411,-0.01622,"Compton",10.028,33.894,-118.227,"compton-ca","CA",-118.227,33.894,91,8880
87943,90786,-0.0082,"Westminster",10.039,33.7523,-117.994,"westminster-ca","CA",-117.994,33.7523,92,8760
87341,92803,-0.0147,"Santa Monica",8.415,34.0109,-118.498,"santa-monica-ca","CA",-118.498,34.0109,93,10379
86433,80749,0.01864,"Folsom",27.887,38.6666,-121.142,"folsom-ca","CA",-121.142,38.6666,94,3099
85967,88676,-0.00903,"Santa Barbara",19.502,34.4006,-119.713,"santa-barbara-ca","CA",-119.713,34.4006,95,4408
85652,85848,0.00008,"Lake Forest",16.632,33.6549,-117.676,"lake-forest-ca","CA",-117.676,33.6549,96,5150
85077,87521,-0.00791,"Citrus Heights",14.232,38.6948,-121.288,"citrus-heights-ca","CA",-121.288,38.6948,97,5978
83813,86616,-0.01261,"San Ramon",18.687,37.7653,-121.932,"san-ramon-ca","CA",-121.932,37.7653,98,4485
